Designator,Mid X,Mid Y,Rotation,Layer
D1,142.231,-84.836,0,top
D2,142.231,-77.978,180,top
D3,150.359,-78.232,180,top
D4,150.359,-84.836,180,top
D5,168.4782,-79.1464,270,top
D6,171.3484,-89.535,270,top
Q1,125.619,-78.6384,0,top
Q2,125.9586,-85.8266,0,top
Q3,164.6936,-79.2066,90,top
Q4,167.64,-89.5858,90,top
R1,118.11,-77.715,270,top
R2,156.3878,-81.153,0,top
R3,121.92,-77.47,270,top
R4,133.35,-73.152,0,top
R5,118.355,-83.82,180,top
R6,150.3172,-72.7202,180,top
R7,131.572,-82.296,0,top
R8,142.231,-89.916,0,top
R9,159.8422,-92.5322,0,top
R10,150.377,-89.8652,180,top
R11,160.3756,-81.1784,180,top
R12,163.7538,-92.5068,180,top
R13,164.719,-82.042,180,top
R14,171.5262,-79.1718,90,top
R15,167.7924,-92.6338,180,top
R16,174.3202,-89.5096,270,top
R17,166.6748,-74.6252,0,top
R18,171.323,-86.5632,0,top
U1,158.5722,-77.1398,180,top
U2,162.0266,-88.6206,180,top
